#CLK_TCK:100
Timestamp,CPU_Jiffies_Cumulative,RSS_Pages
1764825452,55,18289
1764825453,55,18289
1764825454,55,18289
1764825455,55,18289
1764825456,55,18289
1764825457,55,18289
1764825458,55,18289
1764825459,55,18289
1764825460,55,18289
1764825461,55,18289
1764825462,55,18289
1764825463,55,18289
1764825464,55,18289
1764825465,55,18289
1764825466,55,18289
1764825467,55,18289
1764825468,55,18289
1764825469,55,18289
1764825470,55,18289
1764825471,55,18289
1764825472,55,18289
1764825473,55,18289
1764825474,55,18289
1764825475,58,19123
1764825476,58,19123
1764825477,58,19123
1764825478,58,19123
1764825479,58,19123
1764825480,58,19123
1764825481,58,19123
1764825482,58,19123
1764825483,58,19123
1764825484,58,19123
1764825485,58,19123
1764825486,58,19123
1764825487,58,19123
1764825488,58,19123
1764825489,58,19123
1764825490,58,19123
1764825491,58,19123
1764825492,58,19123
1764825493,58,19123
1764825494,58,19123
1764825495,58,19123
1764825496,58,19123
1764825497,144,27963
1764825498,144,27963
1764825499,144,27963
1764825501,146,28175
1764825502,146,28175
1764825503,146,28175
1764825504,146,28175
1764825505,146,28175
1764825506,146,28175
1764825507,146,28175
1764825508,146,28175
1764825509,146,28175
1764825510,146,28175
1764825511,146,28175
