#CLK_TCK:100
Timestamp,CPU_Jiffies_Cumulative,RSS_Pages
1764820773,2484,22987
1764820774,2484,22987
1764820775,2484,22987
1764820776,2484,22987
1764820777,2484,22987
1764820778,2484,22987
1764820779,2484,22987
1764820780,2484,22987
1764820781,2484,22987
1764820782,2484,22987
1764820783,2509,22987
1764820784,2529,22987
1764820785,2529,22987
1764820786,2529,22987
1764820787,2529,22987
1764820788,2529,22987
1764820789,2529,22987
1764820790,2529,22987
1764820791,2529,22987
1764820792,2529,22987
1764820793,2529,22987
1764820794,2529,22987
1764820795,2529,22987
1764820796,2529,22987
1764820797,2529,22987
1764820798,2529,22987
1764820799,2529,22987
1764820800,2529,22987
1764820801,2536,22987
1764820802,2536,22987
1764820803,2536,22987
1764820804,2536,22987
1764820805,2536,22987
1764820806,2536,22987
1764820807,2536,22987
1764820808,2536,22987
1764820809,2536,22987
1764820810,2536,22987
1764820811,2536,22987
1764820812,2536,22987
1764820813,2536,22987
1764820815,2536,22987
1764820816,2536,22987
1764820817,2536,22987
1764820818,2536,22987
1764820819,2536,22987
1764820820,2536,22987
1764820821,2536,22987
1764820822,2536,22987
1764820823,2536,22987
1764820824,2536,22987
1764820825,2536,22987
1764820826,2536,22987
1764820827,2536,22987
1764820828,2536,22987
1764820829,2536,22987
1764820830,2536,22987
1764820831,2536,22987
1764820832,2536,22987
